set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,187.5,0.060935069341317455,0.0028368018,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,202.5,0.05449368273165166,0.0027860191,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,217.5,0.06383728170916389,0.0031244936,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,232.5,0.0718313925579785,0.0032526173,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,247.5,0.06789174967172217,0.0035855249,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,262.5,0.08809569841432989,0.0039559836,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,277.5,0.10612990048148281,0.0043779053,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,292.5,0.11446291066493897,0.0049580936,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,307.5,0.14213933963201603,0.0053493,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,322.5,0.1618447408972624,0.0060768034,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,337.5,0.1720787508239343,0.0070474953,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
1.0,5.75,1.82,0.343,-0.172,352.5,0.17264989615003412,0.007456952,2.447595857689654,-0.5585846227266082,-0.39627248873223386,0.02902512451066952
2.0,5.75,1.933,0.368,-0.232,7.5,0.14483702715091537,0.008565427,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,22.5,0.11660674584015276,0.007897021,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,37.5,0.09799826096418919,0.006707318,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,52.5,0.08924974670105006,0.004945713,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,67.5,0.0771070116869756,0.004514711,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,82.5,0.0637747077426996,0.004081473,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,97.5,0.06207629377577475,0.0035259835,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,112.5,0.04769234480863918,0.003140704,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,127.5,0.04456595630052973,0.002830122,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,142.5,0.04367456855217784,0.0024869654,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,157.5,0.037316774426590774,0.0023200163,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,172.5,0.03205322606764465,0.002402233,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,187.5,0.0359781053508528,0.0023411592,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,202.5,0.04100746023986713,0.0022484013,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,217.5,0.041904749485832726,0.0025315967,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,232.5,0.04293417416245594,0.0028550683,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,247.5,0.04337822397150518,0.003140703,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,262.5,0.05889940326930292,0.0035001724,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,277.5,0.06512977842976515,0.0042036483,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,292.5,0.08051133585121766,0.0045696176,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,307.5,0.08957869760367079,0.0052076583,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,322.5,0.11817393482097185,0.0066749877,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,337.5,0.1245190852898243,0.0075907563,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
2.0,5.75,1.933,0.368,-0.232,352.5,0.13896647596431252,0.008575882,2.20724540055909,-0.6663737777244423,-0.3427865803792093,0.02481738486119503
3.0,5.75,1.964,0.375,-0.278,7.5,0.10927261516809612,0.010706537,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,22.5,0.10950037897114229,0.009894244,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,37.5,0.10498631909601727,0.0073436815,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,52.5,0.06567028569822833,0.0058402834,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,67.5,0.05906500283482625,0.00526136,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,82.5,0.053085371351592,0.0043188287,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,97.5,0.03920980305434664,0.003323984,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,112.5,0.041932780479592396,0.0029793028,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,127.5,0.04062118905073915,0.0026126981,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,142.5,0.030980874313705116,0.0024131406,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,157.5,0.034784616444180294,0.00246156,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,172.5,0.030253712051931753,0.0023662327,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,187.5,0.031991371364539126,0.0023839516,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,202.5,0.02775860794175988,0.0024666372,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,217.5,0.036627094728845774,0.0025191251,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,232.5,0.03726310544857591,0.00284519,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,247.5,0.03437467622422326,0.00276159,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,262.5,0.04173924485443788,0.0032362307,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,277.5,0.0548841949475037,0.0037232346,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,292.5,0.06516927880253236,0.0047640363,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,307.5,0.06974741857997292,0.0060932417,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,322.5,0.09899549593284442,0.0081586065,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,337.5,0.11692450586474444,0.009795794,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
3.0,5.75,1.964,0.375,-0.278,352.5,0.1348357133059574,0.0125540625,2.1311250019900028,-0.7072732333424786,-0.30532557670723737,0.022618864570882913
4.0,5.75,1.986,0.379,-0.323,7.5,0.09832490706913699,0.015667293,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,22.5,0.08588423288137077,0.011791158,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,37.5,0.07369851513381795,0.010101505,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,52.5,0.07043430053672739,0.0069930507,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,67.5,0.051726622763637,0.005474653,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,82.5,0.04370139279479207,0.0048657726,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,97.5,0.035917471221484566,0.0038084518,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,112.5,0.029653473846892448,0.0033649623,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,127.5,0.02927535288882567,0.0027608394,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,142.5,0.027638983693452943,0.002811865,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,157.5,0.023775745655783904,0.0031499697,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,172.5,0.03370989802228196,0.0036087865,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,187.5,0.02479442504699146,0.0030810605,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,202.5,0.026816123396303453,0.002981968,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,217.5,0.028869060144246277,0.0027734672,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,232.5,0.030193040845057802,0.002842972,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,247.5,0.029153979920613603,0.003026222,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,262.5,0.045638153163617454,0.0038544666,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,277.5,0.04032985702977712,0.0042314203,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,292.5,0.04865731655869514,0.005309447,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,307.5,0.06758462923776562,0.006270216,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,322.5,0.08993745673913102,0.010068653,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,337.5,0.10818896612078865,0.014369536,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
4.0,5.75,1.986,0.379,-0.323,352.5,0.11762755834280147,0.019665487,2.0885829412290255,-0.7351896052387009,-0.26838778738852853,0.0205763385743358
5.0,5.75,1.999,0.381,-0.371,7.5,0.15264005933430388,0.021500656,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,22.5,0.08950713115453665,0.014570425,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,37.5,0.06534606011122246,0.011025817,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,52.5,0.057785154227621455,0.007682806,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,67.5,0.04450371433129722,0.004669443,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,82.5,0.03125621860231694,0.0045552384,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,97.5,0.03170944983995447,0.0034214875,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,112.5,0.02800319993009156,0.0031860217,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,127.5,0.024597446384691846,0.003283355,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,142.5,0.02266674781565525,0.004139691,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,157.5,0.03410748300790993,0.0053817243,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,172.5,0.025860958274758084,0.0048487177,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,187.5,0.0336759828529208,0.004139187,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,202.5,0.021808075270487684,0.0035961133,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,217.5,0.024012185408300694,0.0027247719,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,232.5,0.02399729013929875,0.0032043085,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,247.5,0.03229917266197241,0.0032108831,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,262.5,0.028290633773483988,0.0042751483,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,277.5,0.033002062410021904,0.0046419087,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,292.5,0.04054838574358003,0.00609757,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,307.5,0.04621679445170707,0.008076767,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,322.5,0.08245801196350674,0.012557616,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,337.5,0.08458412337434588,0.02027757,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
5.0,5.75,1.999,0.381,-0.371,352.5,0.11279458856707103,0.025078915,2.069601049137165,-0.7557191920017163,-0.22833863388818543,0.018422402017354317
6.0,5.75,2.218,0.345,-0.176,7.5,0.16673850637971635,0.006732549,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,22.5,0.15412130872968247,0.006176325,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,37.5,0.14138016124133185,0.0057989275,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,52.5,0.11831760958594399,0.005353585,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,67.5,0.1049069905426729,0.0050517544,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,82.5,0.10140929036297926,0.004477695,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,97.5,0.08558613965481149,0.00452872,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,112.5,0.07287520867457233,0.0037522176,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,127.5,0.06394247524008767,0.003689968,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,142.5,0.0715501529443283,0.003396061,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,157.5,0.058669857440945446,0.0035062355,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,172.5,0.057489840943351654,0.003372007,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,187.5,0.054288711497653436,0.003461436,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,202.5,0.05856778979253321,0.0033308938,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,217.5,0.06397705478686552,0.003523365,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,232.5,0.06303240341827354,0.0035242348,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,247.5,0.0699217242544669,0.003921085,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,262.5,0.08314430756552922,0.004113373,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,277.5,0.1019747287941574,0.0045029856,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,292.5,0.10706202157056176,0.0048443773,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,307.5,0.12904308822227034,0.005410795,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,322.5,0.13897384365053192,0.0057960767,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,337.5,0.15479719675704764,0.006573794,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
6.0,5.75,2.218,0.345,-0.176,352.5,0.15373090985180018,0.0071210274,2.4303437829455152,-0.5669086374094481,-0.3925214206161509,0.02868151700485516
7.0,5.75,2.318,0.363,-0.232,7.5,0.12356022507718574,0.006942861,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,22.5,0.11028298238309935,0.006100337,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,37.5,0.10140920628468034,0.005620293,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,52.5,0.09350032586465276,0.0050628865,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,67.5,0.08232920046372151,0.004486664,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,82.5,0.0691490629992964,0.0038739005,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,97.5,0.05686852917675413,0.003304396,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,112.5,0.04829770488540616,0.0031673291,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,127.5,0.0461087093245937,0.002746073,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,142.5,0.04511816088272912,0.0029414447,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,157.5,0.04472432975241516,0.0025752734,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,172.5,0.04107851089849053,0.0028337946,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,187.5,0.03350877261486281,0.0026290687,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,202.5,0.04285831238091394,0.0026792956,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,217.5,0.042850414641588,0.0026603956,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,232.5,0.04932784029033709,0.0027779278,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,247.5,0.045558506409667646,0.0031233311,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,262.5,0.05699365982128285,0.003319645,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,277.5,0.0754252230632443,0.0038997151,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,292.5,0.08276198130379345,0.004039916,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,307.5,0.09224587484364989,0.0046523055,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,322.5,0.11408589114951699,0.0057347678,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,337.5,0.12069968243843103,0.006538647,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
7.0,5.75,2.318,0.363,-0.232,352.5,0.13076635152381388,0.007212345,2.2576415227305344,-0.6514021299037638,-0.34427646797711386,0.02509253513794535
8.0,5.75,2.348,0.368,-0.279,7.5,0.12300843572433375,0.00938722,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,22.5,0.1145268349564631,0.00755879,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,37.5,0.09547345003115329,0.006395651,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,52.5,0.0789137221335471,0.0055511375,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,67.5,0.06657678780719638,0.0044585466,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,82.5,0.05324995560010389,0.003646169,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,97.5,0.04321803994119873,0.0035957976,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,112.5,0.0468549357024537,0.0029143826,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,127.5,0.03552637222690306,0.0028163018,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
8.0,5.75,2.348,0.368,-0.279,142.5,0.03899071500533189,0.0025236378,2.2003268026368357,-0.6874563329959562,-0.3063910615414027,0.022885812430075064
